PDMS,,PDMS-90,,PDMS-0,,K1S-spin,,K1S-spin-90,,K1S-spin-0,,K1S-ff-3mms,,K1S-ff-3mms-90,,K1S-ff-3mms-0,,K1S-lf-3mms,,K1S-lf-3mms-90,,K1S-lf-3mms-0,,K1S-lf-3mms-2,,K1S-lf-3mms-2-90,,K1S-lf-3mms-2-0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1064,0.5254474282,1064,1.178277135,1064,0.785094738,1064,0.4701527059,1064,1.093025923,1064,0.8054918647,1064,0.8166960478,1064,1.437386274,1064,1.032173157,1064,0.5502225757,1064,1.132467747,1064,0.8197122216,1064,0.6832787991,1064,1.283060908,1064,0.9252470136,
1063,0.5255245566,1063,1.177403331,1063,0.7855286002,1063,0.470208019,1063,1.092149854,1063,0.8060703278,1063,0.8175082207,1063,1.436537385,1063,1.032926679,1063,0.5503351688,1063,1.13189888,1063,0.8205085993,1063,0.6832105517,1063,1.282042742,1063,0.9258105159,
1062,0.525719285,1062,1.176848531,1062,0.7862627506,1062,0.4702339172,1062,1.091558456,1062,0.8068394065,1062,0.8176513314,1062,1.43615365,1062,1.033368111,1062,0.5504377484,1062,1.13138628,1062,0.8211479783,1062,0.6833822727,1062,1.28148222,1062,0.926641047,
1061,0.5259687304,1061,1.176097512,1061,0.7870386243,1061,0.4704208672,1061,1.091187477,1061,0.8076598644,1061,0.8170853257,1061,1.435449958,1061,1.033855319,1061,0.5507355928,1061,1.13118124,1061,0.8219919801,1061,0.6840307713,1061,1.281342745,1061,0.9275875688,
1060,0.5258126855,1060,1.175140977,1060,0.7872574925,1060,0.4703552723,1060,1.0901649,1060,0.8079607487,1060,0.8171765208,1060,1.434484839,1060,1.034599662,1060,0.5507013798,1060,1.130102158,1060,0.8222792149,1060,0.6839896441,1060,1.280531049,1060,0.9277613163,
1059,0.525636673,1059,1.174200654,1059,0.7873876095,1059,0.4702404141,1059,1.089262009,1059,0.8083179593,1059,0.8174619079,1059,1.433522582,1059,1.034755468,1059,0.5507205129,1059,1.129041433,1059,0.8227904439,1059,0.683563292,1059,1.279242992,1059,0.9281481504,
1058,0.5256177783,1058,1.173621058,1058,0.7881424427,1058,0.4702701867,1058,1.088287473,1058,0.8089332581,1058,0.8171012998,1058,1.432847381,1058,1.034974694,1058,0.5506668091,1058,1.128560424,1058,0.8235227466,1058,0.6837205291,1058,1.278831124,1058,0.9289488792,
1057,0.5259441733,1057,1.17301774,1057,0.7890843153,1057,0.4704024792,1057,1.087948322,1057,0.809712708,1057,0.8174138069,1057,1.432568312,1057,1.03609848,1057,0.5510037541,1057,1.128216147,1057,0.8242570758,1057,0.6842806339,1057,1.278552771,1057,0.9298316836,
1056,0.5259121656,1056,1.17189467,1056,0.7891819477,1056,0.4706363082,1056,1.087254047,1056,0.8103339672,1056,0.8180001378,1056,1.431639433,1056,1.036710024,1056,0.5512437224,1056,1.127318025,1056,0.824762702,1056,0.6842259765,1056,1.277602553,1056,0.9302220345,
1055,0.5254268646,1055,1.170701981,1055,0.7894531488,1055,0.4702401757,1055,1.085938692,1055,0.8104410768,1055,0.8177850246,1055,1.430417418,1055,1.036651611,1055,0.5510537624,1055,1.12628448,1055,0.8250496984,1055,0.6836947203,1055,1.276433229,1055,0.930259347,
1054,0.5256823301,1054,1.170528412,1054,0.7902023792,1054,0.4701650441,1054,1.085404396,1054,0.8110732436,1054,0.8174874187,1054,1.430003047,1054,1.03724885,1054,0.5512336493,1054,1.126060963,1054,0.8259887695,1054,0.6842220426,1054,1.276269674,1054,0.9313802719,
1053,0.5261862874,1053,1.169982672,1053,0.7910116911,1053,0.4705903232,1053,1.084989071,1053,0.8120375276,1053,0.81733042,1053,1.429293394,1053,1.038105488,1053,0.5514898896,1053,1.125586987,1053,0.8268535137,1053,0.6847028732,1053,1.276011348,1053,0.9323595762,
1052,0.5257782936,1052,1.16892004,1052,0.7911962867,1052,0.4705203772,1052,1.084016562,1052,0.8124219775,1052,0.8177313805,1052,1.428221822,1052,1.038418651,1052,0.5514945984,1052,1.124509692,1052,0.827228725,1052,0.6845775247,1052,1.275136709,1052,0.9324216247,
1051,0.5255782008,1051,1.167946696,1051,0.7915620804,1051,0.4704993367,1051,1.0831182,1051,0.8128947616,1051,0.8177632689,1051,1.4277426,1051,1.038773417,1051,0.5516543388,1051,1.124005079,1051,0.8277342916,1051,0.6845639944,1051,1.27441597,1051,0.9330130219,
1050,0.5257703662,1050,1.167266488,1050,0.79232198,1050,0.470525533,1050,1.082469702,1050,0.8135859966,1050,0.8177366257,1050,1.426987171,1050,1.039433122,1050,0.5518473983,1050,1.123487234,1050,0.8286684155,1050,0.684733212,1050,1.273776293,1050,0.9339900613,
1049,0.5262249112,1049,1.166739225,1049,0.7930710912,1049,0.4707561433,1049,1.082126141,1049,0.8144071102,1049,0.8181633949,1049,1.426626682,1049,1.040280581,1049,0.5520227551,1049,1.12317872,1049,0.8293461204,1049,0.6851117015,1049,1.273311973,1049,0.9347775578,
1048,0.5260360837,1048,1.165808082,1048,0.7931448221,1048,0.4706176519,1048,1.081307411,1048,0.8147112131,1048,0.81822294,1048,1.425544977,1048,1.040693045,1048,0.5520429015,1048,1.122261286,1048,0.8297593594,1048,0.6849668026,1048,1.272571206,1048,0.935084641,
